table,Model,L1,L2,L3,L4,L5,L2-L1,L3-L2,L3-L1,L4 wrong agreement rate,L5 wrong agreement rate,Sycophancy,category,claude-opus-4-6,gpt-5.4,Reasoning Quality,Got Lucky,Judge N,Grounded %,Mislead Resistant %,"Correct Label, Wrong Reasoning %",Grounded Correct,Grounded Given Correct,Grounded Count,Groundable Total,Flagged %,Accuracy Seen Before,Accuracy Unseen,Difficulty,N kernels,claude-opus-4-6 accuracy,gpt-5.4 accuracy,memory-bound,latency-bound,compute-bound,occupancy-limited,register-spill
accuracy_table,claude-opus-4-6,"63.8% [50.9%, 74.9%]","70.7% [58.0%, 80.8%]","67.2% [54.4%, 77.9%]","33.3% [6.1%, 79.2%] NOTE: underpowered","33.3% [6.1%, 79.2%] NOTE: underpowered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accuracy_table,gpt-5.4,"63.8% [50.9%, 74.9%]","69.0% [56.2%, 79.4%]","72.2% [59.1%, 82.4%]","33.3% [6.1%, 79.2%] NOTE: underpowered","0.0% [0.0%, 56.2%] NOTE: underpowered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accuracy_table,Random,"19.6% [10.9%, 30.9%]","19.6% [10.9%, 30.9%]","19.6% [10.9%, 30.9%]","19.6% [10.9%, 30.9%]","19.6% [10.9%, 30.9%]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accuracy_table,Frequency,"63.8% [50.9%, 74.9%]","63.8% [50.9%, 74.9%]","63.8% [50.9%, 74.9%]","63.8% [50.9%, 74.9%]","63.8% [50.9%, 74.9%]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accuracy_table,Roofline,"63.8% [50.9%, 74.9%]","63.8% [50.9%, 74.9%]","63.8% [50.9%, 74.9%]","63.8% [50.9%, 74.9%]","63.8% [50.9%, 74.9%]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accuracy_table,Roofline+,"37.9% [26.6%, 50.8%]","37.9% [26.6%, 50.8%]","37.9% [26.6%, 50.8%]","37.9% [26.6%, 50.8%]","37.9% [26.6%, 50.8%]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_sensitivity,claude-opus-4-6,63.79,70.69,67.24,,,6.9,-3.45,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level_sensitivity,gpt-5.4,63.79,68.97,72.22,,,5.17,3.26,8.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sycophancy,claude-opus-4-6,,,,,,,,,33.33,66.67,-33.33,,,,,,,,,,,,,,,,,,,,,,,,,
sycophancy,gpt-5.4,,,,,,,,,0.0,100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,
